,name,temp,temp_min,temp_max,lon,lat,speed,humidity,clouds
519,Viedma,295.55,295.55,295.55,-62.99,-40.81,7.52,27,33
520,Mocuba,298.35,298.35,298.35,36.99,-16.84,1.86,87,100
521,Vao,268.76,268.76,268.76,26.19,59.1,1.82,82,0
522,Nioro,307.33,307.33,307.33,-15.05,13.79,2.67,7,0
523,Cap-aux-Meules,272.15,272.15,272.15,-61.86,47.38,10.3,80,75
524,Coihaique,287.58,287.15,288.15,-72.07,-45.58,4.1,51,75
525,Navrongo,301.27,301.27,301.27,-1.09,10.89,0.69,16,0
526,Franklin,292.55,290.15,294.26,-86.87,35.93,4.6,68,75
527,Tucuman,296.3,296.3,296.3,-70.89,-17.17,6.5,43,0
528,Kontagora,299.92,299.92,299.92,5.47,10.4,2.52,14,1
529,Kailua,296.62,295.15,298.15,-157.74,21.39,6.2,88,40
530,Rorvik,278.15,278.15,278.15,11.24,64.86,2.68,76,100
531,Campos Altos,297.99,297.99,297.99,-46.17,-19.7,2.17,69,94
532,Huron,274.15,274.15,274.15,-98.21,44.36,2.6,100,90
533,Lithgow,292.53,292.04,293.15,150.16,-33.48,1.5,77,75
534,Kildare,283.43,282.59,284.15,-6.91,53.16,2.1,66,75
535,Emerald,296.81,296.48,297.15,148.16,-23.53,3.6,69,90
536,Mareeba,296.69,294.82,298.15,145.42,-16.99,3.6,88,90
537,Podgornoye,250.31,250.31,250.31,82.64,57.79,2.36,88,99
538,Buchanan,303.15,303.15,303.15,-10.05,5.88,4.6,79,40
539,Sur,295.13,295.13,295.13,59.53,22.57,1.4,63,70
540,Vianopolis,300.74,300.74,300.74,-48.52,-16.74,3.47,63,33
541,Gualaquiza,299.9,299.9,299.9,-78.58,-3.4,2.01,61,56
