,name,temp,temp_min,temp_max,lon,lat,speed,humidity,clouds,this_date
71,Charters Towers,296.21,296.21,296.21,146.27,-20.07,5.43,83,0,2019-12-30
72,Tibati,308.45,308.45,308.45,12.63,6.47,1.14,13,3,2019-12-30
73,Mugumu,295.42,295.42,295.42,34.67,-1.84,1.5,85,100,2019-12-30
74,Kahului,293.27,292.15,295.37,-156.47,20.89,2.1,72,1,2019-12-30
75,Wang Saphung,298.15,298.15,298.15,101.77,17.3,0.94,51,7,2019-12-30
76,Petropavlovsk-Kamchatskiy,259.15,259.15,259.15,158.65,53.05,5.0,71,96,2019-12-30
77,Hasaki,277.69,277.04,279.15,140.83,35.73,1.0,93,75,2019-12-30
78,Tsumeb,295.18,295.18,295.18,17.72,-19.25,1.23,77,100,2019-12-30
79,Yellowknife,249.22,249.15,249.26,-114.38,62.45,5.7,76,75,2019-12-30
80,Libenge,310.57,310.57,310.57,18.64,3.65,2.07,11,6,2019-12-30
81,Wick,282.34,280.37,284.26,-2.43,51.45,2.1,81,20,2019-12-30
82,Paamiut,265.68,265.68,265.68,-49.67,61.99,3.59,48,0,2019-12-30
83,Port Blair,300.64,300.64,300.64,92.75,11.67,7.21,78,55,2019-12-30
84,Cabo San Lucas,284.51,282.04,288.71,-109.91,22.89,3.6,87,5,2019-12-30
85,Severo-Kurilsk,269.55,269.55,269.55,156.12,50.68,4.32,86,99,2019-12-30
86,San Juan,306.74,306.74,306.74,-68.53,-31.54,2.64,29,0,2019-12-30
87,Torbay,273.44,272.59,274.26,-52.73,47.66,9.8,90,90,2019-12-30
88,Saa,308.09,308.09,308.09,10.08,7.32,2.87,11,48,2019-12-30
89,Saldanha,285.73,285.73,285.73,-6.55,41.42,0.66,46,0,2019-12-30
90,Yerbogachen,243.71,243.71,243.71,108.01,61.28,3.33,97,32,2019-12-30
91,Kavieng,302.14,302.14,302.14,150.8,-2.57,4.36,72,0,2019-12-30
92,Bagepalli,297.15,297.15,297.15,77.8,13.78,3.6,53,40,2019-12-30
93,Alta Floresta,300.93,300.93,300.93,-56.08,-9.87,2.24,72,100,2019-12-30
94,Zomin,277.78,277.78,277.78,68.4,39.96,0.81,90,100,2019-12-30
95,North Bend,279.94,278.71,281.15,-124.22,43.41,1.5,93,40,2019-12-30
96,Mao,296.6,295.15,298.15,-71.08,19.55,1.5,94,75,2019-12-30
97,Igrim,260.98,260.98,260.98,64.42,63.19,6.48,68,48,2019-12-30
98,Lengshuijiang,281.48,281.48,281.48,111.45,27.66,2.36,77,87,2019-12-30
99,Yulara,301.15,301.15,301.15,130.99,-25.24,3.6,61,75,2019-12-30
100,Codrington,294.51,293.15,296.15,153.24,-28.95,2.6,83,78,2019-12-30
101,Amot,282.15,282.15,282.15,7.99,59.57,5.7,76,20,2019-12-30
102,Namibe,296.1,296.1,296.1,12.15,-15.19,2.18,92,100,2019-12-30
103,Bayan,263.93,263.93,263.93,102.26,36.1,0.3,40,43,2019-12-30
104,Avarua,297.15,297.15,297.15,-159.78,-21.21,2.1,83,100,2019-12-30
105,Gornozavodsk,253.5,253.5,253.5,58.33,58.37,2.04,93,97,2019-12-30
106,Provideniya,244.15,244.15,244.15,-173.23,64.42,4.03,83,0,2019-12-30
107,Klaksvik,279.15,279.15,279.15,-6.59,62.23,12.3,87,80,2019-12-30
108,Harper,273.81,269.15,277.04,-99.24,30.3,1.91,85,1,2019-12-30
109,Nome,278.13,274.15,282.04,-94.42,30.04,2.1,87,1,2019-12-30
110,Birao,305.27,305.27,305.27,22.78,10.3,3.55,11,0,2019-12-30
111,Vostok,248.84,248.84,248.84,135.83,46.45,1.38,99,100,2019-12-30
112,Havre-Saint-Pierre,265.15,265.15,265.15,-63.6,50.23,6.7,61,1,2019-12-30
113,Hvide Sande,281.84,281.15,282.59,8.13,56.01,4.6,93,0,2019-12-30
114,Teguldet,256.67,256.67,256.67,88.17,57.31,1.64,96,100,2019-12-30
115,Bambous Virieux,298.82,298.15,299.26,57.76,-20.34,15.4,100,75,2019-12-30
116,Quarai,309.89,309.89,309.89,-56.45,-30.39,2.77,30,71,2019-12-30
117,Nikolskoye,276.76,276.48,277.15,30.79,59.7,7.0,86,75,2019-12-30
118,Oyama,279.03,277.04,280.93,139.8,36.31,1.5,93,75,2019-12-30
119,Vaitape,300.53,300.53,300.53,-151.75,-16.52,5.59,76,100,2019-12-30
120,Deputatskiy,242.38,242.38,242.38,139.9,69.3,0.67,68,24,2019-12-30
121,Merauke,298.77,298.77,298.77,140.4,-8.49,1.64,84,14,2019-12-30
122,Kodiak,271.74,270.93,272.59,-94.76,39.95,9.3,74,90,2019-12-30
123,Guarapari,301.38,301.15,301.48,-40.5,-20.67,2.6,65,40,2019-12-30
124,Shebalino,267.68,267.68,267.68,85.68,51.29,1.25,87,100,2019-12-30
125,Carnarvon,305.63,305.63,305.63,22.13,-30.97,6.88,14,81,2019-12-30
126,Butaritari,301.7,301.7,301.7,172.79,3.07,4.59,74,100,2019-12-30
127,Channel-Port aux Basques,272.42,272.42,272.42,-59.14,47.57,12.19,73,100,2019-12-30
128,Marawi,298.71,298.71,298.71,124.29,8.0,2.68,86,74,2019-12-30
129,Bethel,248.85,248.15,250.15,-161.76,60.79,3.1,75,20,2019-12-30
130,La Roda,283.24,278.71,289.26,-2.16,39.21,4.1,70,20,2019-12-30
131,Castro,288.15,288.15,288.15,-73.76,-42.48,3.6,72,40,2019-12-30
132,Port Lincoln,288.91,288.91,288.91,135.86,-34.72,5.72,70,34,2019-12-30
133,Arlit,298.18,298.18,298.18,7.39,18.74,4.28,11,0,2019-12-30
134,Abonnema,308.15,308.15,308.15,6.79,4.71,1.0,39,41,2019-12-30
135,Abong Mbang,307.83,307.83,307.83,13.18,3.98,1.45,17,97,2019-12-30
136,Khatanga,239.29,239.29,239.29,102.47,71.98,2.58,92,0,2019-12-30
137,Petrov Val,267.29,267.29,267.29,45.21,50.14,2.65,74,0,2019-12-30
138,Cardston,267.36,265.15,270.37,-113.32,49.2,3.1,79,1,2019-12-30
139,Longyearbyen,258.15,258.15,258.15,15.63,78.22,3.1,77,0,2019-12-30
140,Kamenka,269.26,269.26,269.26,28.7,48.03,2.08,86,1,2019-12-30
141,Aleppo,283.75,283.75,283.75,37.17,36.2,3.11,80,63,2019-12-30
142,Upernavik,265.18,265.18,265.18,-56.15,72.79,7.95,93,100,2019-12-30
143,Porbandar,296.15,296.15,296.15,69.61,21.64,6.2,28,0,2019-12-30
144,Cayenne,300.15,300.15,300.15,-52.33,4.94,5.1,88,75,2019-12-30
145,Upata,301.05,301.05,301.05,-62.41,8.02,3.13,56,89,2019-12-30
146,Puerto Cabezas,297.15,297.15,297.15,-83.39,14.04,1.87,94,40,2019-12-30
147,Ribeira Grande,290.15,290.15,290.15,-28.7,38.52,10.3,72,40,2019-12-30
148,Boende,304.3,304.3,304.3,20.88,-0.28,1.45,51,76,2019-12-30
149,Kindu,299.18,299.18,299.18,25.92,-2.95,0.92,94,98,2019-12-30
150,Nioro,309.33,309.33,309.33,-15.05,13.79,4.75,6,40,2019-12-30
151,Berlevag,273.15,273.15,273.15,29.09,70.86,11.8,72,75,2019-12-30
152,Jasper,280.36,278.15,282.15,-87.28,33.83,4.03,93,1,2019-12-30
153,Tiksi,244.2,244.2,244.2,128.87,71.64,5.58,82,100,2019-12-30
154,Pio XII,302.75,302.75,302.75,-45.17,-3.89,2.84,68,100,2019-12-30
155,Yeppoon,298.15,298.15,298.15,150.74,-23.13,3.1,69,40,2019-12-30
156,Atherton,297.04,295.37,298.15,145.48,-17.27,0.5,83,93,2019-12-30
157,Ambulu,302.17,302.17,302.17,113.61,-8.35,1.03,74,100,2019-12-30
158,Divnogorsk,256.15,256.15,256.15,92.38,55.96,1.04,91,100,2019-12-30
159,Yuzhnyy,270.49,270.49,270.49,39.45,53.54,8.96,72,100,2019-12-30
160,Pevek,243.0,243.0,243.0,170.27,69.7,1.45,95,100,2019-12-30
161,Cao Bang,290.86,290.86,290.86,106.25,22.67,0.96,84,100,2019-12-30
162,Balkanabat,280.42,280.42,280.42,54.36,39.51,3.35,68,100,2019-12-30
163,Basco,272.04,271.48,272.59,-91.2,40.33,10.8,74,90,2019-12-30
164,Horizonte,301.87,300.37,303.15,-38.5,-4.1,5.7,70,75,2019-12-30
165,Vostochnyy,270.35,269.26,271.48,37.87,55.82,7.0,86,90,2019-12-30
166,Batticaloa,295.95,295.95,295.95,81.69,7.71,0.59,86,73,2019-12-30
167,Beringovskiy,247.64,247.64,247.64,179.32,63.05,9.0,93,59,2019-12-30
168,Puerto Escondido,296.15,296.15,296.15,-97.07,15.86,1.15,69,5,2019-12-30
169,Mount Gambier,286.15,286.15,286.15,140.78,-37.83,3.6,82,100,2019-12-30
170,Borogontsy,234.18,234.18,234.18,131.17,62.67,0.54,98,74,2019-12-30
171,Geraldton,265.15,265.15,265.15,-86.95,49.72,6.7,85,90,2019-12-30
172,Hualmay,298.9,298.9,298.9,-77.61,-11.1,3.83,54,24,2019-12-30
173,Bayji,288.17,288.17,288.17,43.49,34.93,1.69,45,20,2019-12-30
174,Nisia Floresta,303.15,303.15,303.15,-35.21,-6.09,6.2,51,40,2019-12-30
175,Virginia Beach,293.25,292.15,294.26,-75.98,36.85,4.6,94,90,2019-12-30
176,Chara,278.78,276.15,280.15,22.43,39.42,5.7,86,90,2019-12-30
177,Luderitz,297.15,297.15,297.15,15.16,-26.65,12.3,57,0,2019-12-30
178,Oudtshoorn,291.15,291.15,291.15,22.2,-33.59,5.7,93,90,2019-12-30
179,Hobyo,300.3,300.3,300.3,48.53,5.35,7.74,70,0,2019-12-30
180,Ilulissat,264.15,264.15,264.15,-51.1,69.22,6.7,52,75,2019-12-30
181,Manado,298.15,298.15,298.15,124.85,1.49,1.0,100,20,2019-12-30
182,Lahaina,293.76,292.15,296.15,-156.68,20.87,2.1,72,1,2019-12-30
