,name,temp,temp_min,temp_max,lon,lat,speed,humidity,clouds,this_date
313,Iwanai,276.07,276.07,276.07,140.51,42.97,4.5,90,95,2019-12-30
314,Pangoa,303.41,303.41,303.41,-73.0,-12.12,0.94,57,86,2019-12-30
315,Galesong,299.15,299.15,299.15,119.37,-5.32,1.5,94,20,2019-12-30
316,Donskoye,272.09,272.04,272.15,41.98,45.45,5.0,80,75,2019-12-30
317,Hojai,287.66,287.66,287.66,92.85,26.0,0.83,86,0,2019-12-30
318,Pringsewu,297.15,297.15,297.15,104.98,-5.36,0.44,95,100,2019-12-30
319,Los Llanos de Aridane,296.32,296.15,296.48,-17.92,28.66,3.1,64,96,2019-12-30
320,Nuuk,267.1,267.04,267.15,-51.74,64.17,0.5,79,75,2019-12-30
321,Atambua,298.15,298.15,298.15,124.89,-9.11,0.53,84,100,2019-12-30
322,Indianola,269.83,269.26,270.15,-100.42,40.24,11.3,68,1,2019-12-30
323,Lompoc,282.66,280.37,284.26,-120.46,34.64,2.1,93,90,2019-12-30
324,Khamanon,282.63,282.63,282.63,76.34,30.82,1.25,51,0,2019-12-30
325,Belyy Yar,254.15,254.15,254.15,91.39,53.6,2.0,70,40,2019-12-30
326,Athabasca,266.56,266.56,266.56,-113.29,54.72,4.16,83,0,2019-12-30
327,Katsuura,285.23,284.15,286.15,134.5,33.93,3.1,93,75,2019-12-30
328,Krasnovishersk,257.8,257.8,257.8,57.08,60.4,6.37,77,100,2019-12-30
329,South River,278.33,274.26,282.59,-74.39,40.45,5.1,93,90,2019-12-30
330,Onega,274.79,274.79,274.79,38.09,63.91,6.69,93,100,2019-12-30
331,Berca,270.85,267.59,275.15,26.68,45.29,8.2,69,5,2019-12-30
332,Korem,288.32,288.32,288.32,39.52,12.51,3.51,68,100,2019-12-30
333,Newport,282.24,280.37,284.26,-3.0,51.59,2.1,81,20,2019-12-30
334,Carballo,288.01,285.37,290.15,-8.69,43.21,1.31,55,0,2019-12-30
335,Eregli,276.43,276.43,276.43,34.05,37.51,4.1,89,100,2019-12-30
336,Comodoro Rivadavia,295.15,295.15,295.15,-67.48,-45.87,4.1,43,40,2019-12-30
337,Kidal,299.71,299.71,299.71,1.41,18.44,4.63,8,0,2019-12-30
338,Bereda,287.87,284.26,290.15,-7.54,43.27,0.93,55,0,2019-12-30
339,Faya,291.67,291.15,292.15,42.45,18.39,6.2,45,40,2019-12-30
340,Shenjiamen,283.98,283.98,283.98,122.3,29.96,15.02,77,100,2019-12-30
341,Tual,301.94,301.94,301.94,132.75,-5.67,3.21,76,64,2019-12-30
342,Saint Anthony,261.38,256.15,265.15,-111.68,43.97,2.1,78,1,2019-12-30
343,Norman Wells,247.15,247.15,247.15,-126.83,65.28,1.5,75,40,2019-12-30
344,Ubatuba,297.4,297.4,297.4,-45.08,-23.43,2.11,79,67,2019-12-30
345,Ostrovnoy,272.45,272.45,272.45,39.51,68.05,9.21,98,100,2019-12-30
346,Tolaga Bay,290.03,290.03,290.03,178.3,-38.37,10.38,80,40,2019-12-30
347,Okha,256.68,256.68,256.68,142.95,53.59,3.09,96,100,2019-12-30
348,Linxia,264.9,264.9,264.9,103.21,35.6,0.34,59,9,2019-12-30
349,Bolotnoye,265.14,265.14,265.14,84.39,55.67,1.67,96,100,2019-12-30
350,Fort Collins,261.41,258.15,264.82,-105.07,40.55,1.5,84,1,2019-12-30
351,Eureka,276.58,275.93,277.59,-124.16,40.8,3.1,100,90,2019-12-30
352,Arrifes,289.15,289.15,289.15,-25.7,37.77,6.7,67,75,2019-12-30
353,Nizhniy Odes,263.7,263.7,263.7,54.86,63.64,7.42,92,100,2019-12-30
354,Iralaya,297.15,297.15,297.15,-83.23,15.0,4.6,94,20,2019-12-30
355,College,258.54,256.15,259.26,-147.8,64.86,2.49,92,90,2019-12-30
356,Flin Flon,262.15,262.15,262.15,-101.88,54.77,2.1,92,90,2019-12-30
357,Broome,282.41,280.37,283.71,1.45,52.47,5.7,71,0,2019-12-30
358,Kununurra,303.15,303.15,303.15,128.74,-15.77,3.1,66,88,2019-12-30
359,Nurobod,276.15,276.15,276.15,69.8,40.91,2.1,86,75,2019-12-30
360,Zhaoyuan,247.89,247.89,247.89,125.08,45.52,3.99,87,0,2019-12-30
361,Smidovich,247.17,247.17,247.17,133.81,48.6,3.99,93,95,2019-12-30
362,Aksha,247.88,247.88,247.88,113.29,50.28,1.5,85,96,2019-12-30
363,Lillooet,272.16,269.15,274.26,-121.94,50.69,2.1,94,90,2019-12-30
364,Hofn,273.15,273.15,273.15,-15.21,64.25,3.1,66,20,2019-12-30
365,Ozernovskiy,270.41,270.41,270.41,156.52,51.5,5.35,73,0,2019-12-30
366,Mago,248.4,248.4,248.4,140.15,53.27,2.16,92,97,2019-12-30
367,Yining,282.73,282.73,282.73,114.56,29.04,1.92,86,100,2019-12-30
368,Roald,278.96,275.37,281.15,6.12,62.58,10.8,87,75,2019-12-30
369,Touros,303.15,303.15,303.15,-35.46,-5.2,6.2,51,40,2019-12-30
370,Okhotsk,259.59,259.59,259.59,143.24,59.36,6.67,73,100,2019-12-30
371,Troy,274.05,272.04,275.93,-73.69,42.73,7.6,89,90,2019-12-30
372,Tuatapere,284.82,284.82,284.82,167.69,-46.13,0.89,92,46,2019-12-30
373,Octeville,282.61,281.48,284.15,-1.64,49.63,5.7,87,0,2019-12-30
374,Itaituba,301.15,301.15,301.15,-55.99,-4.26,1.39,78,75,2019-12-30
375,Leshukonskoye,271.27,271.27,271.27,45.76,64.9,6.69,91,100,2019-12-30
376,Sorong,296.63,296.63,296.63,131.25,-0.86,0.81,93,99,2019-12-30
377,Grindavik,274.82,274.26,275.15,-22.43,63.84,3.1,80,75,2019-12-30
378,Tezu,286.68,286.68,286.68,96.16,27.93,1.79,40,0,2019-12-30
379,Muswellbrook,295.05,295.05,295.05,150.89,-32.27,1.73,27,59,2019-12-30
380,Tailai,249.25,249.25,249.25,123.41,46.39,3.32,74,0,2019-12-30
381,Westport,276.79,274.15,279.26,-73.36,41.14,5.7,93,90,2019-12-30
382,Salym,252.28,252.28,252.28,71.48,60.06,2.61,90,10,2019-12-30
383,Mecca,296.62,296.62,296.62,39.83,21.43,4.8,58,78,2019-12-30
384,Prnjavor,275.15,275.15,275.15,17.66,44.87,1.0,59,20,2019-12-30
385,Cabedelo,302.15,302.15,302.15,-34.84,-6.97,5.1,70,75,2019-12-30
386,Almunecar,286.57,285.37,288.71,-3.69,36.73,1.5,50,94,2019-12-30
387,Colesberg,296.85,296.85,296.85,25.1,-30.72,8.94,46,61,2019-12-30
388,Lebu,295.15,295.15,295.15,38.73,8.96,4.1,40,20,2019-12-30
389,Qasigiannguit,264.15,264.15,264.15,-51.19,68.82,6.7,52,75,2019-12-30
390,Homer,274.01,272.59,275.15,-151.54,59.64,1.64,90,90,2019-12-30
391,Paracuru,301.29,300.15,303.15,-39.03,-3.41,5.7,83,75,2019-12-30
392,Pavlohrad,269.15,269.15,269.15,35.87,48.53,3.0,85,90,2019-12-30
393,Manokwari,296.23,296.23,296.23,134.08,-0.87,2.2,87,64,2019-12-30
394,Rawson,289.59,289.59,289.59,-65.11,-43.3,4.68,91,100,2019-12-30
395,Yaan,309.33,309.33,309.33,8.57,7.38,2.29,9,70,2019-12-30
396,Ust-Ishim,251.52,251.52,251.52,71.17,57.69,0.92,92,85,2019-12-30
397,Newark,277.35,274.82,279.82,-74.17,40.74,5.1,93,90,2019-12-30
398,Souillac,284.49,284.15,285.15,-0.6,45.6,1.5,71,0,2019-12-30
399,Vestmannaeyjar,276.15,276.15,276.15,-20.27,63.44,4.6,74,90,2019-12-30
400,Praia da Vitoria,289.15,289.15,289.15,-27.07,38.73,9.01,63,40,2019-12-30
401,Raudeberg,280.06,279.82,280.37,5.14,61.99,11.8,75,75,2019-12-30
402,Selikhino,252.05,252.05,252.05,137.51,50.37,2.65,97,100,2019-12-30
403,Strezhevoy,257.15,257.15,257.15,77.6,60.73,5.0,77,97,2019-12-30
404,Lucapa,297.43,297.43,297.43,20.74,-8.42,1.6,89,96,2019-12-30
405,Victoria,301.59,300.93,302.15,115.24,5.28,2.1,88,75,2019-12-30
406,Saint-Augustin,269.98,268.15,271.48,-73.98,45.63,7.2,67,90,2019-12-30
407,Bongandanga,308.55,308.55,308.55,21.07,1.51,1.62,21,31,2019-12-30
408,Laguna,293.15,293.15,293.15,-88.94,16.17,0.9,100,40,2019-12-30
409,Thio,296.15,296.15,296.15,166.22,-21.61,3.6,83,0,2019-12-30
410,Yeniseysk,248.07,248.07,248.07,92.17,58.45,1.72,91,100,2019-12-30
411,Ulaangom,245.62,245.62,245.62,92.07,49.98,2.27,89,98,2019-12-30
412,Aranos,305.96,305.96,305.96,19.11,-24.14,4.14,31,69,2019-12-30
413,Axim,303.93,303.93,303.93,-2.24,4.87,3.53,58,42,2019-12-30
414,Mantua,278.51,275.93,281.48,10.79,45.16,2.1,75,0,2019-12-30
415,Airai,293.4,293.4,293.4,125.41,-8.93,1.51,85,98,2019-12-30
416,Taoudenni,296.01,296.01,296.01,-3.98,22.68,8.15,17,0,2019-12-30
417,Saint George,278.75,276.15,280.15,22.34,39.45,5.7,86,90,2019-12-30
418,La Macarena,298.47,298.47,298.47,-73.79,2.18,1.26,84,59,2019-12-30
419,Rabaul,301.41,301.41,301.41,152.17,-4.2,4.07,78,34,2019-12-30
420,Kailua,296.51,295.15,297.59,-157.74,21.39,5.1,73,75,2019-12-30
421,Ayan,265.84,265.84,265.84,44.7,38.23,2.27,79,0,2019-12-30
422,Kvarkeno,254.38,254.38,254.38,59.73,52.08,0.92,97,88,2019-12-30
423,Monki,275.95,275.37,276.48,22.8,53.41,9.04,60,100,2019-12-30
424,Conakry,304.15,304.15,304.15,-13.7,9.52,3.1,62,66,2019-12-30
425,Naze,308.15,308.15,308.15,7.07,5.43,1.0,39,25,2019-12-30
426,Guangyuan,275.93,275.93,275.93,105.86,32.43,1.36,69,99,2019-12-30
427,Portland,269.44,268.15,271.15,-70.25,43.66,8.2,74,90,2019-12-30
428,Soni,297.83,297.83,297.83,38.37,-4.85,2.91,82,0,2019-12-30
429,Karratha,302.76,302.76,302.76,116.85,-20.74,3.36,86,27,2019-12-30
430,Trebukhiv,269.82,269.15,270.37,30.9,50.48,4.0,86,90,2019-12-30
431,Pitimbu,302.15,302.15,302.15,-34.81,-7.47,5.1,70,75,2019-12-30
432,Omsukchan,242.12,242.12,242.12,155.8,62.53,0.69,31,73,2019-12-30
433,Talnakh,253.15,253.15,253.15,88.39,69.49,16.0,83,90,2019-12-30
434,Kengyel,275.59,275.15,275.93,20.34,47.09,2.1,64,0,2019-12-30
435,De-Kastri,255.55,255.55,255.55,140.77,51.48,4.74,96,100,2019-12-30
436,Chokurdakh,237.53,237.53,237.53,147.9,70.62,2.4,81,0,2019-12-30
437,Adamovka,253.58,253.58,253.58,59.94,51.52,0.9,98,91,2019-12-30
438,Kargasok,248.28,248.28,248.28,80.87,59.06,0.71,94,9,2019-12-30
439,Talaya,256.15,256.15,256.15,84.89,55.79,2.0,84,20,2019-12-30
440,Lebanon,277.99,276.48,280.15,-76.42,40.34,6.2,100,90,2019-12-30
441,Lakatoro,300.21,300.21,300.21,167.42,-16.11,5.33,77,6,2019-12-30
442,Margate,288.59,287.59,289.26,147.26,-43.03,3.1,82,90,2019-12-30
443,Aklavik,246.15,246.15,246.15,-135.01,68.22,1.5,68,75,2019-12-30
444,Vanimo,301.7,301.7,301.7,141.3,-2.67,5.85,75,100,2019-12-30
445,Ilo,296.15,296.15,296.15,-71.34,-17.65,4.1,64,0,2019-12-30
446,Peruibe,297.81,297.81,297.81,-47.0,-24.32,3.23,79,35,2019-12-30
447,Bambanglipuro,298.67,298.67,298.67,110.28,-7.95,0.94,91,100,2019-12-30
448,Eisiskes,275.32,274.82,275.93,25.0,54.17,9.3,55,100,2019-12-30
449,Polunochnoye,258.11,258.11,258.11,60.43,60.87,3.57,79,98,2019-12-30
450,Hirara,294.87,294.87,294.87,125.28,24.8,7.07,84,90,2019-12-30
451,Lewiston,269.05,267.59,270.37,-70.21,44.1,5.1,79,90,2019-12-30
452,Ixtapa,291.86,291.15,292.59,-105.21,20.71,2.1,93,40,2019-12-30
453,Bom Jardim,300.15,300.15,300.15,-35.59,-7.8,4.6,61,75,2019-12-30
454,Novoagansk,253.09,253.09,253.09,76.66,61.94,5.62,87,69,2019-12-30
455,Dhidhdhoo,301.3,301.3,301.3,73.1,6.88,2.37,71,100,2019-12-30
456,Tilichiki,246.43,246.43,246.43,166.1,60.47,3.64,64,0,2019-12-30
457,Sioux Lookout,264.15,264.15,264.15,-91.92,50.1,2.1,85,90,2019-12-30
458,Shumskiy,257.59,257.59,257.59,99.13,54.83,1.73,89,100,2019-12-30
459,Tanda,281.91,281.91,281.91,75.63,31.67,1.34,56,0,2019-12-30
460,Itarema,304.72,304.72,304.72,-39.92,-2.92,5.37,54,75,2019-12-30
461,Zhezkazgan,259.97,259.97,259.97,67.71,47.8,1.82,92,93,2019-12-30
462,Sao Miguel do Araguaia,306.8,306.8,306.8,-50.16,-13.28,0.88,58,49,2019-12-30
463,Mweka,302.0,302.0,302.0,21.56,-4.85,0.75,54,75,2019-12-30
464,Minudasht,287.15,287.15,287.15,55.37,37.23,3.1,50,20,2019-12-30
465,Glace Bay,272.31,270.93,273.71,-59.96,46.2,9.3,86,75,2019-12-30
466,Katangli,255.47,255.47,255.47,143.23,51.71,3.31,95,64,2019-12-30
467,Chapleau,267.15,267.15,267.15,-83.4,47.85,7.7,92,90,2019-12-30
468,Vilhena,296.15,296.15,296.15,-60.15,-12.74,1.5,94,40,2019-12-30
469,Volchikha,265.61,265.61,265.61,80.36,52.02,3.12,95,97,2019-12-30
470,Brae,281.15,281.15,281.15,-1.35,60.4,12.9,81,40,2019-12-30
471,Poptun,298.56,298.56,298.56,-89.42,16.33,0.79,73,100,2019-12-30
472,Bonthe,304.15,304.15,304.15,-12.5,7.53,5.07,57,88,2019-12-30
473,Bontang,300.54,300.54,300.54,117.47,0.12,5.31,80,100,2019-12-30
474,Howard Springs,302.17,300.37,303.15,131.05,-12.5,2.6,74,75,2019-12-30
475,Kampot,298.67,298.15,299.15,104.18,10.62,0.5,83,20,2019-12-30
476,Tsiroanomandidy,298.08,298.08,298.08,46.05,-18.77,3.22,75,96,2019-12-30
477,Caranavi,296.76,296.76,296.76,-67.57,-15.83,2.03,69,69,2019-12-30
478,Garbolovo,276.68,276.48,277.15,30.5,60.34,7.0,86,75,2019-12-30
479,Sao Filipe,297.93,297.93,297.93,-24.5,14.9,5.46,59,1,2019-12-30
480,Lethem,305.48,305.48,305.48,-59.8,3.38,6.08,45,39,2019-12-30
481,Tabuk,295.71,295.71,295.71,121.44,17.41,0.95,92,32,2019-12-30
482,Batemans Bay,290.93,290.93,290.93,150.18,-35.71,3.16,47,10,2019-12-30
483,Iguape,306.52,306.52,306.52,-47.56,-24.7,1.45,44,43,2019-12-30
484,Rosario,300.66,299.15,302.04,-57.35,-34.31,3.6,78,75,2019-12-30
485,Poli,307.1,307.1,307.1,13.24,8.48,2.31,12,2,2019-12-30
486,Sri Aman,299.15,299.15,299.15,111.46,1.24,0.5,94,100,2019-12-30
487,Smithers,273.15,273.15,273.15,-127.17,54.78,2.6,98,90,2019-12-30
488,Antalaha,301.32,301.32,301.32,50.28,-14.9,3.97,70,57,2019-12-30
489,Nantucket,276.12,275.15,277.15,-70.1,41.28,7.7,86,90,2019-12-30
490,Ust-Barguzin,248.18,248.18,248.18,109.03,53.41,1.66,85,66,2019-12-30
491,Johi,289.61,289.61,289.61,67.61,26.69,1.06,28,0,2019-12-30
492,Bam,287.65,287.65,287.65,58.36,29.11,2.57,34,0,2019-12-30
493,Nassau,275.63,274.82,276.48,15.34,46.81,2.1,55,0,2019-12-30
494,Sambava,298.52,298.52,298.52,50.17,-14.27,1.15,84,75,2019-12-30
495,Amuntai,297.65,297.65,297.65,115.25,-2.42,0.72,93,100,2019-12-30
496,Wellington,286.6,285.93,288.15,174.78,-41.29,3.6,82,65,2019-12-30
497,Sadovoye,270.61,270.61,270.61,44.52,47.78,2.17,80,0,2019-12-30
498,Tomigusuku,293.63,293.15,294.15,127.67,26.18,2.6,88,90,2019-12-30
499,Poronaysk,264.88,264.88,264.88,143.1,49.22,2.62,91,100,2019-12-30
500,Xinyu,284.26,284.26,284.26,114.93,27.8,4.82,74,100,2019-12-30
501,Awjilah,288.02,288.02,288.02,21.3,29.14,4.41,42,2,2019-12-30
502,Mopipi,308.03,308.03,308.03,24.86,-21.2,2.06,25,79,2019-12-30
503,Turukhansk,256.83,256.83,256.83,87.96,65.8,6.64,94,100,2019-12-30
504,Sangamner,292.29,292.29,292.29,74.2,19.57,3.49,61,0,2019-12-30
505,Mandalgovi,253.99,253.99,253.99,106.27,45.76,7.05,65,0,2019-12-30
506,Havelock,293.46,290.93,300.15,-76.9,34.88,10.3,94,90,2019-12-30
507,Iqaluit,266.15,266.15,266.15,-68.52,63.75,9.8,62,90,2019-12-30
508,Bundaberg,295.15,295.15,295.15,152.35,-24.87,2.6,78,40,2019-12-30
509,Nishihara,280.85,275.93,287.04,139.53,35.74,3.1,87,75,2019-12-30
510,Stonewall,262.43,261.48,263.15,-97.33,50.13,7.7,85,90,2019-12-30
511,Gravdal,280.15,278.71,281.15,5.78,59.79,6.7,100,75,2019-12-30
512,San Quintin,296.11,296.11,296.11,120.52,17.54,1.1,93,6,2019-12-30
513,Nortelandia,305.38,305.38,305.38,-56.8,-14.45,1.17,55,100,2019-12-30
514,Genhe,240.41,240.41,240.41,121.52,50.78,1.83,96,0,2019-12-30
515,Along,282.77,282.77,282.77,94.8,28.17,1.98,64,0,2019-12-30
516,Agua Prieta,270.5,267.59,272.04,-109.55,31.32,2.1,85,1,2019-12-30
517,Caravelas,304.49,304.49,304.49,-39.27,-17.73,1.76,45,41,2019-12-30
518,Ronde,281.38,280.37,282.15,10.48,56.3,4.6,87,42,2019-12-30
519,Sedro-Woolley,279.36,277.59,281.15,-122.23,48.5,1.31,100,90,2019-12-30
520,Banyo,307.3,307.3,307.3,11.81,6.75,1.26,14,0,2019-12-30
521,San Fernando,301.31,300.93,301.48,-61.46,10.28,4.1,74,20,2019-12-30
522,Whitehorse,273.41,272.59,274.15,-135.06,60.72,11.3,74,75,2019-12-30
523,Makakilo City,296.52,295.15,297.59,-158.09,21.35,1.5,83,40,2019-12-30
524,Huayang,289.25,289.25,289.25,115.49,23.62,0.69,98,6,2019-12-30
525,Pozo Colorado,311.02,311.02,311.02,-58.8,-23.49,3.74,33,100,2019-12-30
526,Shimoda,284.59,283.15,285.93,138.93,34.7,0.45,90,100,2019-12-30
527,Andra,256.67,256.67,256.67,65.89,62.52,4.02,77,89,2019-12-30
528,Mahebourg,298.83,298.15,299.26,57.7,-20.41,15.4,100,75,2019-12-30
529,Nuzvid,299.15,299.15,299.15,80.85,16.79,1.5,69,23,2019-12-30
530,Kjopsvik,274.78,274.15,275.37,16.37,68.1,6.2,99,90,2019-12-30
531,Hamilton,277.11,276.15,278.71,-79.87,43.26,9.3,100,90,2019-12-30
532,Mercedes,310.46,310.46,310.46,-58.03,-33.25,4.01,31,100,2019-12-30
533,Chepareria,300.92,300.92,300.92,35.2,1.32,4.62,34,74,2019-12-30
534,Duma,268.39,268.39,268.39,111.1,34.88,1.3,17,62,2019-12-30
535,Garcia,302.15,302.15,302.15,-38.52,-12.99,2.6,66,75,2019-12-30
536,Pucara,294.69,293.15,296.15,-64.2,-21.7,4.49,77,20,2019-12-30
537,Slobodskoy,262.74,262.74,262.74,50.18,58.73,6.23,90,100,2019-12-30
538,Baruun-Urt,250.78,250.78,250.78,113.28,46.68,10.55,73,0,2019-12-30
539,Maloy,297.14,297.14,297.14,118.1,1.0,1.2,95,48,2019-12-30
540,Mujiayingzi,255.38,255.38,255.38,118.78,42.12,4.59,40,0,2019-12-30
541,Port Moresby,300.83,300.83,300.83,147.16,-9.47,4.62,77,71,2019-12-30
542,Tautira,298.89,298.71,299.15,-149.15,-17.73,2.1,74,100,2019-12-30
543,Neiafu,299.15,299.15,299.15,-173.98,-18.65,5.7,100,75,2019-12-30
544,Necochea,297.59,297.59,297.59,-58.74,-38.55,4.92,1,100,2019-12-30
545,Sorland,275.15,275.15,275.15,12.69,67.67,6.2,78,75,2019-12-30
546,Ranong,301.15,301.15,301.15,98.62,9.96,2.6,69,20,2019-12-30
547,Olinda,291.82,289.82,293.15,145.39,-37.84,5.7,72,40,2019-12-30
548,Payo,293.96,293.96,293.96,103.64,-3.75,0.76,97,100,2019-12-30
549,Bathsheba,302.15,302.15,302.15,-59.52,13.22,7.2,66,40,2019-12-30
550,Vangaindrano,298.57,298.57,298.57,47.6,-23.35,1.98,76,20,2019-12-30
551,Khandyga,231.38,231.38,231.38,135.58,62.65,0.5,99,86,2019-12-30
552,Gornopravdinsk,252.01,252.01,252.01,69.92,60.06,2.64,89,19,2019-12-30
553,Straumen,277.99,276.48,279.82,11.3,63.87,10.3,86,75,2019-12-30
554,Magadi,297.63,297.15,298.15,77.22,12.96,3.1,61,40,2019-12-30
555,Bilma,294.74,294.74,294.74,12.92,18.69,3.88,20,0,2019-12-30
556,Tura,240.45,240.45,240.45,100.22,64.27,2.18,92,52,2019-12-30
557,Muncar,301.61,301.61,301.61,114.34,-8.43,1.42,77,100,2019-12-30
558,Saint-Joseph,285.87,284.26,287.15,6.97,43.56,2.6,67,0,2019-12-30
559,Igarka,257.75,257.75,257.75,86.57,67.47,10.26,93,100,2019-12-30
560,Cairns,296.94,295.37,298.15,145.77,-16.92,0.5,83,56,2019-12-30
561,Wamba,302.06,302.06,302.06,27.99,2.14,0.91,40,100,2019-12-30
562,Peniche,288.88,285.93,290.93,-9.38,39.36,2.6,72,0,2019-12-30
563,Usinsk,264.24,264.24,264.24,57.56,66.0,13.86,92,100,2019-12-30
564,Bahia Blanca,303.22,303.22,303.22,-62.27,-38.72,4.1,54,43,2019-12-30
565,Carbonia,285.15,285.15,285.15,8.53,39.17,3.6,50,0,2019-12-30
566,Villa Carlos Paz,295.32,295.15,295.37,-64.5,-31.42,4.6,94,75,2019-12-30
567,Port Macquarie,294.44,293.15,295.37,152.91,-31.43,8.2,68,0,2019-12-30
568,Hay River,255.15,255.15,255.15,-115.79,60.82,4.6,77,90,2019-12-30
569,Cockburn Town,298.68,298.68,298.68,-71.14,21.46,7.95,78,0,2019-12-30
570,Thoen,293.16,293.16,293.16,99.22,17.61,1.39,80,36,2019-12-30
571,Richards Bay,298.16,298.16,298.16,32.06,-28.77,10.48,82,0,2019-12-30
572,Eyl,299.63,299.63,299.63,49.82,7.98,9.67,82,1,2019-12-30
